"Unnamed..0","Objektart","Name","Link","Address","image_url"
5,"StadionArena","Westhusener Str.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Westhusener Straße 65, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
6,"StadionArena","Wischlinger Weg","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Wischlinger Weg 241a, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
7,"StadionArena","Sendstr.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Sendstaße 106, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
8,"StadionArena","Admiralplatz/Hopmanns Mühlenweg","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Hopmanns Mühlenweg 7b, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
9,"StadionArena","Schwerter Str./Waldstadion","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Schwerter Straße 232, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
10,"StadionArena","Schützenstr./Hobertsburg","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Schützenstraße 240, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
11,"StadionArena","Mendesportanlage","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Westerholz 51, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
12,"StadionArena","Plümers Ort","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Plümers Ort 6a, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
13,"StadionArena","Provinzialstr.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Provinzialstraße 305, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
14,"StadionArena","Lindenhorster Str./Rolandplatz","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Lindenhorster Straße 34, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
15,"StadionArena","Im Rauhen Holz","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Karinstraße 6, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
16,"StadionArena","Kobbendelle","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Kobbendelle 16, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
17,"StadionArena","Im Odemsloh","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Im Odemsloh 107, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
18,"Kletteranlage","Kletterhalle Bergwerk","https://www.kletterhalle-bergwerk.de/","Emscherallee 33, Dortmund","https://www.kletterhalle-bergwerk.de/wp-content/webp-express/webp-images/uploads/2021/10/Girl-Bouldern-1536x777.png.webp"
19,"Eisbahn","Eishalle Revierpark Wischlingen","https://www.wischlingen.de/eishalle/","Höfkerstraße 12, Dortmund","https://www.wischlingen.de/wp-content/uploads/2022/07/Header-Eishalle.jpg"
20,"Tennis","TC Flora","https://tcflora.tennisplatz.info/","Bolmker Weg 20, Dortmund","https://tcflora.tennisplatz.info/clubs/603/news/20230402_123625.jpg"
21,"StadionArena","Am Schallacker","","Am Schallacker 30, Dortmund","https://basis-datensysteme.de/museumluedo/bild2.jpg"
22,"StadionArena","Schmetterlingsweg/Waldsportplatz","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Schmetterlingsweg nan, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
23,"StadionArena","Holzwickeder Str.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Holzwickeder Straße 107, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
24,"StadionArena","Hangeneystr.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Hangeneystraße 174, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
25,"StadionArena","Evinger Str.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Evinger Straße 600, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
26,"StadionArena","Dörwerstr./in Schulsportanlage","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Dörwerstraße 36, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
27,"StadionArena","Dollersweg","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Dollersweg 14, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
28,"StadionArena","Diedenhofener Str.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Diedenhofener Straße 11, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
29,"StadionArena","Blumenkamp","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Blumenkamp 4, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
30,"StadionArena","Deutsch-Luxemburger Str.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Deutsch-Luxemburger Straße 58, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
31,"StadionArena","Deusener Str.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Deusener Straße 227, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
32,"StadionArena","Buschei","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Buschei 34, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
33,"StadionArena","Bärenbruch","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Bärenbruch 124, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
34,"StadionArena","Bummelberg","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Bummelberg 30, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
35,"Schiessen","Bogenschießanlage","http://www.tusbarop.de","Stockumer Straße 290, Dortmund","https://tusbarop.de/image/titel.png"
36,"StadionArena","Am Wasserfall","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Am Wasserfall 25, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
37,"StadionArena","Berghofer Str.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Berghofer Straße 239, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
38,"StadionArena","Bezirks-/Waldsportanlage Arthur-Beringer-Str.","http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html","Arthur-Beringer-Straße 33, Dortmund","https://www.dortmund.de/media/bilder/kopfpanoramen/kopfpanoramenklein/sport_laufen_PanoramaKlein.jpg"
39,"StadionArena","Auf dem Bleck","http://www.asseln-freizeitfussball.de/","Auf dem Bleck nan, Dortmund","http://www.asseln-freizeitfussball.de/Bild-001.jpg"
40,"Skateanlage","Derne","","Kornblumenstraße nan, Dortmund","https://www.dortmund.de/media/p/dietrich_keuning_haus__dkh_/dkh_1/skatepark_PanoramaKlein.jpg"
