Unnamed: 0,Objektart,Name,Link,Address
45,Skateanlage,Dietrich-Keuning-Haus,https://www.dortmund.de/de/freizeit_und_kultur/dietrich_keuning_haus/skatepark_1/index.html,"Leopoldstraße 50-58, Dortmund"
46,Skateanlage,Hombruch,https://www.dortmund.de/de/leben_in_dortmund/familie_und_soziales/buero_fuer_kinderinteressen/sportanlagen_1/index.html,
47,MountainbikeArena,Mountainbike-Parcour (Wickede),http://www.dortmund.de/de/leben_in_dortmund/familie_und_soziales/buero_fuer_kinderinteressen/spielleitplanung/vorortmiteuch/starterprojekte/mountainbikestreckefrnkischerfriedhof/index.html,"Fränkischer Friedhof nan, Dortmund"
48,MountainbikeArena,Bikepark Hombruch,https://www.dortmund.de/de/leben_in_dortmund/familie_und_soziales/buero_fuer_kinderinteressen/sportanlagen_1/index.html,"Kieferstraße nan, Dortmund"
49,MountainbikeArena,Bikepark Aplerbeck,http://www.bikepark-aplerbeck.de/,"Benediktinerstraße 81, Dortmund"
50,Eisbahn,Eissportzentrum Westfalen,,"Strobelallee 33, Dortmund"
51,SportSonstiges,SuperFly Ruhr - Jump Emscher GmbH,https://dortmund.superfly.de/trampolinhalle/,"Brennaborstraße 12, Dortmund"
52,Kletteranlage,Kletterturm,http://www.dav-dortmund.de/unsere-sektion/der-kletterturm/,"Vogelpothsweg nan, Dortmund"
53,Sportpark,Landesleistungszentrum des Westfälischen Turnerbundes,http://www.ktv-dortmund.de/,"Lissaboner Allee 35, Dortmund"
54,Tennis,Borussiastraße,http://tcoespelkley.de/,"Borussiastraße 81, Dortmund"
55,StadionArena,Lissaboner Allee,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Lissaboner Allee 31, Dortmund"
56,Tennis,Tennisplatzanlage Revierpark Wischlingen,,"Höfkerstraße nan, Dortmund"
57,StadionArena,Im Dorney,http://www.dortmund.de/de/leben_in_dortmund/sport/sportanlagen/sportanlagen.html,"Hedwigstraße 81, Dortmund"
